	Date	Date_wavelet	temp_C_2.5	Fluorescence_volts_2.5	Density_kg.m3_2.5	salinity_PSU_2.5	Par_uE.m2.s_2.5	oxygen_uM_2.5	NITRITE_0	NITRATE.NIT_0	AMMONIA_0	SILICATE_0	PHOSPHATE_0	Chl_0m	TPC	TPN	TPC_TPN	POC	PON	POC_PON	maximum.wind.speed	average.weekly.pressure	total.rainfall.for.week	average.weekly.temperature	maximum.weekly.temperature	average.weekly.wind.speed	max.weekly.wave.height	average.weekly.wave.height	max.daily.river.flow	average.weekly.river.flow	amplicon.16S
2018-Nov	20/11/2018	07/11/2018	13.3915	0.7567	1026.437	35.1443		245.262	0.15	3.51	0.19	2.66	0.4																		SRX9422601
2018-Dec	04/12/2018	07/12/2018	12.1169	NA	1026.2895	34.6282	NA	253.638	0.26	7.5	0.35	4.66	0.45	0.76	NA	NA		NA		NA	47.8	1015.231367	5.8	10.2308782	12.4	25.41221138	4.62	2.38616958	152	91.55714286	WEC
2019-Jan	14/01/2019	07/01/2019	11.011	0.6565	1026.7145	34.9094		260.321	0.13	7.53	0.19	4.02	0.5																		
2019-Feb	11/02/2019	07/02/2019	9.3312	0.434	1026.4479	34.1984		270.148	0.3	11.8	0.3	4.82	0.57																		SRX9422602
2019-Mar	11/03/2019	07/03/2019	10.0049	0.4015	1026.9742	35.0154		267.477	0.36	6.88	0.1	2.67	0.52																		SRX9422603
2019-Apr	01/04/2019	07/04/2019	10.3946	0.4577	1026.947	35.067		270.54	0.28	5.75	0.26	1.9	0.55																		SRX9422604
2019-May	07/05/2019	07/05/2019	11.4882	0.3845	1026.701	35.0051		289.791	NA	0.11	0.24	0.51	NA																		
2019-Jun	03/06/2019	07/06/2019	13.6776	0.2984	1026.3111	35.0588		278.34	NA	0.1	0.04	NA	NA																		
2019-Jul	22/07/2019	07/07/2019	17.33	0.5402	1025.6144	35.2189		224.859	NA	0.03	NA	1.3	NA																		SRX9422605
2019-Aug	12/08/2019	07/08/2019	16.9253	0.4441	1025.7414	35.2582		242.563	NA	NA	0.28	1.03	0.03																		
2019-Sep	02/09/2019	07/09/2019	16.3641	0.5957	1025.8784	35.2647		239.814	0.11	0.13	0.36	NA	0.06																		
2019-Oct	NA	07/10/2019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2019-Nov	05/11/2019	07/11/2019	13.7882	0.6881	1025.7409	34.3507		228.511	0.32	8.03	0.34	4.82	NA																		
2019-Dec	02/12/2019	07/12/2019	12.0838	0.4746	1026.4812	34.8668		237.124	0.15	6.54	0.08	3.49	0.53																		
2020-Jan	20/01/2020	07/01/2020	9.8135	NA	1026.43	34.2763		239.545	0.16	8.95	0.09	4	0.53																		
2020-Feb	05/02/2020	07/02/2020	9.7321	NA	1026.5673	34.4347		240.232	0.14	9.87	0.22	3.87	0.51																		
2020-Mar	02/03/2020	07/03/2020	9.1438	NA	1026.0072	33.5967		265.805	0.24	12.32	0.59	5	0.71																		
2020-Apr	NA	07/04/2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-May	NA	07/05/2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-Jun	NA	07/06/2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2020-Jul	07/07/2020	07/07/2020	13.731	3.657	1026.2237	34.9597		271.245	0.17	0.64	0.14	0.55	0.05																		
2020-Aug	10/08/2020	07/08/2020	16.5421	1.6689	1025.6532	35.0254		255.713	NA	NA	0.13	1.43	NA																		
2020-Sep	07/09/2020	07/09/2020	15.9492	0.9631	1025.7824	35.0157		235.425	0.13	0.88	0.31	NA	0.11																		
2020-Oct	12/10/2020	07/10/2020	14.7043	1.6795	1025.8094	34.6917		201.806	1.04	4.02	0.33	4.2	0.26																		
2020-Nov	09/11/2020	07/11/2020	13.6133	1.5318	1026.2712	34.9894		214.929	0.17	5.08	0.14	3.93	0.37																		
2020-Dec	07/12/2020	07/12/2020	11.9147	0.6191	1026.5668	34.9362		220.044	0.1	5.93	0.09	3.19	0.4																		
2021-Jan	11/01/2021	07/01/2021	1.0781	2.75	1026.7136	34.5838		236.779	0.12	9.37	0.06	3.67	0.48																		
2021-Feb	NA	07/02/2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2021-Mar	08/03/2021	07/03/2021	8.4951	0.7257	1026.8666	34.5622		226.851	0.29	9.93	0.28	3.34	0.52																		
2021-Apr	13/04/2021	07/04/2021	9.334	1.0157	1027.0553	34.9701		248.859	0.27	4.45	0.18	1.41	0.36																		
2021-May	12/05/2021	07/05/2021	10.8083	0.9175	1026.8078	34.983		259.301	0.02	0.05	NA	0.74	0.1																		
2021-Jun	07/06/2021	07/06/2021	14.2321	1.6498	1025.5136	34.1774		233.462	0.02	0.04	0.12	0.35	0.03																		
